CODIGO;IMAGEM;PRODUTO;VALOR;DESCONTO;QTDE
P01;./Images/Desodorante/Des-Cristal-100g.jpg;Des Cristal 100g;[70, 43.20, 36, 39.60, 32.60, 0];0;216
P02;./Images/Desodorante/Des-Cristal-35g.jpg;Des Cristal 35g;[50, 31.20, 26, 28.60, 23.29, 0];0;288
P03;./Images/Desodorante/Des-Cristal-60g.jpg;Des Cristal 60g;[60, 36, 30, 33, 24.78, 0];0;288
P04;./Images/Desodorante/Des-Kit100g-ECO.jpg;Des Kit100g ECO;[80, 50.40, 42, 46.20, 42, 0];0;148
P05;./Images/Desodorante/Des-Kit100g.jpg;Des Kit100g;[80, 50.40, 42, 46.20, 42, 0];0;240
P06;./Images/Desodorante/Des-Kit35g-ECO.jpg;Des Kit35g ECO;[60, 38.40, 32, 35.20, 30.27, 0];0;400
P07;./Images/Desodorante/Des-Kit60g-ECO.jpg;Des Kit60g ECO;[70, 43.20, 36, 39.60, 31.75, 0];0;247
P08;./Images/Desodorante/Des-Kit60g.jpg;Des Kit60g;[70, 43.20, 36, 39.60, 36, 0];0;240
P09;./Images/Desodorante/Des-Lavanda.jpg;Des Lavanda;[30, 18.72, 15.60, 17.16, 15.60, 0];0;180
P10;./Images/Desodorante/Des-Refrescante.jpg;Des Refrescante;[30, 18.72, 15.60, 17.16, 15.60, 0];0;240
P11;./Images/Desodorante/Des-Rosa-Mosq-Creme.jpg;Des Rosa Mosq Creme;[40, 26.88, 22.40, 24.64, 22.40, 0];0;70
P12;./Images/Desodorante/Des-Rosa-Mosq-Rollon.jpg;Des Rosa Mosq Rollon;[30, 18.72, 15.60, 17.16, 15.60, 0];0;300
P13;./Images/Desodorante/Des-Rosa-Mosq-Spray.jpg;Des Rosa Mosq Spray;[40, 23.52, 19.60, 21.56, 19.60, 0];0;200
P14;./Images/Desodorante/Des-Sem-Perfume.jpg;Des Sem Perfume;[30, 18.72, 15.60, 17.16, 15.60, 0];0;90
P15;./Images/Desodorante/Spray-Desodorante.jpg;Spray Desodorante;[20, 14.40, 12, 13.20, 12, 0];0;276
P16;./Images/Perfume/Body-Splash-Trau.jpg;Body Splash Trau;[80, 47.52, 39.60, 43.56, 39.60];0;250
P17;./Images/Perfume/Perfume-Trau-10ml.jpg;Perfume Trau 10ml;[60, 37.92, 31.60, 34.76, 31.60];0;250
P18;./Images/Perfume/Perfume-Trau.jpg;Perfume Trau;[240, 143.52, 119.60, 131.56, 119.60];0;60
P19;./Images/Facial/Creme-olhos.jpg;Creme olhos;[120, 71.52, 59.60, 65.56, 59.60, 0];0;100
P20;./Images/Facial/Espuma.jpg;Espuma;[60, 37.92, 31.60, 34.76, 31.60, 0];0;150
P21;./Images/Facial/Gel-Creme.jpg;Gel Creme;[60, 37.92, 31.60, 34.76, 31.60, 0];0;118
